timestamp_utc	status_code	ready_status
2026-06-12T21:53:17Z	503	degraded
2026-06-12T21:58:18Z	503	degraded
2026-06-12T22:03:21Z	200	ready
2026-06-12T22:08:21Z	503	degraded
2026-06-12T22:13:24Z	200	ready
2026-06-12T22:18:24Z	200	ready
2026-06-12T22:23:25Z	200	ready
2026-06-12T22:28:26Z	503	degraded
2026-06-12T22:33:27Z	200	ready
2026-06-12T22:38:28Z	200	ready
2026-06-12T22:43:39Z	200	ready
2026-06-12T22:48:39Z	503	degraded
2026-06-12T22:53:43Z	200	ready
2026-06-12T22:58:43Z	200	ready
2026-06-12T23:03:44Z	200	ready
2026-06-12T23:08:44Z	503	degraded
2026-06-12T23:13:44Z	200	ready
2026-06-12T23:18:46Z	200	ready
2026-06-12T23:23:46Z	200	ready
2026-06-12T23:28:46Z	200	ready
2026-06-12T23:33:47Z	503	degraded
2026-06-12T23:38:48Z	200	ready
2026-06-12T23:43:48Z	200	ready
2026-06-12T23:48:48Z	503	degraded
2026-06-12T23:53:17Z	200	ready
