timestamp_utc	path	status_code	total_seconds
2026-06-15T15:18:35Z	/v1/live	200	0.038725
2026-06-15T15:18:35Z	/v1/health	200	0.043442
2026-06-15T15:18:35Z	/v1/overview	200	0.048259
2026-06-15T15:23:36Z	/v1/live	200	0.031574
2026-06-15T15:23:36Z	/v1/health	200	0.039763
2026-06-15T15:23:36Z	/v1/overview	200	0.097090
2026-06-15T15:28:36Z	/v1/live	200	0.040190
2026-06-15T15:28:36Z	/v1/health	200	0.045183
2026-06-15T15:28:36Z	/v1/overview	200	0.047988
2026-06-15T15:33:36Z	/v1/live	200	0.040123
2026-06-15T15:33:36Z	/v1/health	200	0.046801
2026-06-15T15:33:36Z	/v1/overview	200	0.045972
2026-06-15T15:38:36Z	/v1/live	200	0.030688
2026-06-15T15:38:36Z	/v1/health	200	0.040531
2026-06-15T15:38:36Z	/v1/overview	200	0.551513
2026-06-15T15:43:37Z	/v1/live	200	0.037498
2026-06-15T15:43:37Z	/v1/health	200	0.031289
2026-06-15T15:43:37Z	/v1/overview	200	0.044193
2026-06-15T15:48:37Z	/v1/live	200	0.034580
2026-06-15T15:48:37Z	/v1/health	200	0.043381
2026-06-15T15:48:37Z	/v1/overview	200	0.667232
2026-06-15T15:53:38Z	/v1/live	200	0.025956
2026-06-15T15:53:38Z	/v1/health	200	0.043006
2026-06-15T15:53:38Z	/v1/overview	200	0.458004
2026-06-15T15:58:39Z	/v1/live	200	0.026733
2026-06-15T15:58:39Z	/v1/health	200	0.037879
2026-06-15T15:58:39Z	/v1/overview	200	4.633927
2026-06-15T16:03:44Z	/v1/live	200	0.032942
2026-06-15T16:03:44Z	/v1/health	200	0.039915
2026-06-15T16:03:44Z	/v1/overview	200	0.045428
2026-06-15T16:08:45Z	/v1/live	200	0.033876
2026-06-15T16:08:45Z	/v1/health	200	0.041440
2026-06-15T16:08:45Z	/v1/overview	200	0.048290
2026-06-15T16:13:45Z	/v1/live	200	0.055404
2026-06-15T16:13:45Z	/v1/health	200	0.028645
2026-06-15T16:13:45Z	/v1/overview	200	0.038202
2026-06-15T16:18:45Z	/v1/live	200	0.029409
2026-06-15T16:18:45Z	/v1/health	200	0.033204
2026-06-15T16:18:45Z	/v1/overview	200	0.045490
2026-06-15T16:23:46Z	/v1/live	200	0.028526
2026-06-15T16:23:46Z	/v1/health	200	0.047465
2026-06-15T16:23:46Z	/v1/overview	200	0.047896
2026-06-15T16:28:46Z	/v1/live	200	0.036157
2026-06-15T16:28:46Z	/v1/health	200	0.040577
2026-06-15T16:28:46Z	/v1/overview	200	0.045712
2026-06-15T16:33:46Z	/v1/live	200	0.023050
2026-06-15T16:33:46Z	/v1/health	200	0.040989
2026-06-15T16:33:46Z	/v1/overview	200	0.044054
2026-06-15T16:38:46Z	/v1/live	200	0.031294
2026-06-15T16:38:46Z	/v1/health	200	0.039815
2026-06-15T16:38:46Z	/v1/overview	200	0.294685
2026-06-15T16:43:47Z	/v1/live	200	0.032955
2026-06-15T16:43:47Z	/v1/health	200	0.007473
2026-06-15T16:43:47Z	/v1/overview	200	0.049420
2026-06-15T16:48:47Z	/v1/live	200	0.024327
2026-06-15T16:48:47Z	/v1/health	200	0.002749
2026-06-15T16:48:47Z	/v1/overview	200	0.017423
2026-06-15T16:53:48Z	/v1/live	200	0.023919
2026-06-15T16:53:48Z	/v1/health	200	0.038113
2026-06-15T16:53:48Z	/v1/overview	200	1.076375
2026-06-15T16:58:49Z	/v1/live	200	0.020350
2026-06-15T16:58:49Z	/v1/health	200	0.019562
2026-06-15T16:58:49Z	/v1/overview	200	0.770132
2026-06-15T17:03:50Z	/v1/live	200	0.026345
2026-06-15T17:03:50Z	/v1/health	200	0.018236
2026-06-15T17:03:50Z	/v1/overview	200	0.051936
2026-06-15T17:08:50Z	/v1/live	200	0.035323
2026-06-15T17:08:50Z	/v1/health	200	0.043698
2026-06-15T17:08:50Z	/v1/overview	200	0.047241
2026-06-15T17:13:51Z	/v1/live	200	0.043090
2026-06-15T17:13:51Z	/v1/health	200	0.049180
2026-06-15T17:13:51Z	/v1/overview	200	0.051499
2026-06-15T17:18:35Z	/v1/live	200	0.035340
2026-06-15T17:18:35Z	/v1/health	200	0.046908
2026-06-15T17:18:35Z	/v1/overview	200	0.046977
