timestamp_utc	pid	ppid	etime	rss_kb	cpu_percent
2026-06-15T15:18:35Z	6175	84465	00:03	35524	90.4
2026-06-15T15:23:36Z	6175	84465	05:03	30612	70.5
2026-06-15T15:28:36Z	6175	84465	10:03	46308	0.3
2026-06-15T15:33:36Z	6175	84465	15:03	33140	3.0
2026-06-15T15:38:36Z	6175	84465	20:04	37104	75.8
2026-06-15T15:43:37Z	6175	84465	25:04	50176	17.3
2026-06-15T15:48:37Z	6175	84465	30:05	32968	72.5
2026-06-15T15:53:38Z	6175	84465	35:06	36260	90.7
2026-06-15T15:58:39Z	6175	84465	40:11	19860	21.3
2026-06-15T16:03:44Z	6175	84465	45:12	42624	0.6
2026-06-15T16:08:45Z	6175	84465	50:12	36956	0.9
2026-06-15T16:13:45Z	6175	84465	55:12	29860	30.9
2026-06-15T16:18:45Z	6175	84465	01:00:12	38372	74.3
2026-06-15T16:23:46Z	6175	84465	01:05:13	40900	2.0
2026-06-15T16:28:46Z	6175	84465	01:10:13	37956	66.1
2026-06-15T16:33:46Z	6175	84465	01:15:13	35316	0.8
2026-06-15T16:38:46Z	6175	84465	01:20:14	31308	91.7
2026-06-15T16:43:47Z	6175	84465	01:25:14	44476	16.5
2026-06-15T16:48:47Z	6175	84465	01:30:15	29124	40.6
2026-06-15T16:53:48Z	6175	84465	01:35:16	29824	22.0
2026-06-15T16:58:49Z	6175	84465	01:40:17	53764	90.1
2026-06-15T17:03:50Z	6175	84465	01:45:17	34624	0.6
2026-06-15T17:08:50Z	6175	84465	01:50:18	41720	55.2
2026-06-15T17:13:51Z	6175	84465	01:55:18	44004	2.5
2026-06-15T17:18:35Z	6175	84465	02:00:02	42400	2.3
